pdbID,start1,end1,start2,end2,mean.length,linker.length,ChainLength,repeat_cover,secondary.structure,CATH.codes,PfamFamily,PfamCL,Pfam2ratio,CE.Symm,CE.Symm_repeat,couple.count,symmetry,total_symmetry,swapping,cluster,foldseek_cluster
1aj4.A,0,87,88,159,80.0,0,160,1.0,Mainly Alpha,1.10.238.10,EF-hand_7;EF-hand_8;EF-hand_1;EF-hand_6;EF-hand_5,220,6.5989847715736,C1,C1,0,else,else,0,62,0
6ijj.6,0,122,123,187,94.0,0,230,0.817391304347826,Mainly Alpha,-,Chloroa_b-bind,0,11.1111111111111,C2,C2,38,C2,C2,1,90,0
1a59.A,33,108,109,217,92.5,0,377,0.490716180371353,Mainly Alpha,1.10.580.10,Citrate_synt,0,0.854700854700855,C2,C2,202,C2,C2,1,90,0
1aj8.A,30,106,107,215,93.0,0,371,0.501347708894879,Mainly Alpha,1.10.580.10,Citrate_synt,0,0.854700854700855,C1,C2,245,C2,C2,1,90,0
2ong.A,254,352,353,422,84.5,0,543,0.311233885819521,Mainly Alpha,1.50.10.130;1.10.600.10,Terpene_synth_C;Terpene_syn_C_2,613,16.1016949152542,C1,C1,40,C2,C2,0,99,0
4nhx.A,1,214,244,455,213.0,29,457,0.99562363238512,Mainly Beta,2.60.120.620,2OG-FeII_Oxy_4;Ofd1_CTDD;2OG-FeII_Oxy_3,29,2.7027027027027,C2,C2,152,C2,C2,0,47,1
3eo7.A,1,234,254,486,233.5,19,487,0.997946611909651,Alpha Beta,3.40.109.10,Nitroreductase,529,0.0,C2,C2,364,C2,C2,0,64,1
1aoz.A,129,333,334,551,211.5,0,552,0.766304347826087,Mainly Beta,2.60.40.420,Cu-oxidase;Cu-oxidase_2,26,0.623052959501558,C1,C1,16,C2,C2,0,89,1
3nvq.A,14,157,158,289,138.0,0,588,0.469387755102041,Mainly Beta,2.130.10.10,Sema,0,0.323624595469256,C1,C1,0,else,else,0,40,2
1dhy.A,0,130,131,277,139.0,0,278,1.0,Alpha Beta,3.10.180.10,Glyoxalase,104,0.408163265306122,D2,D2,750,C2,C2,0,52,2
1a6c.A,6,171,188,344,161.5,16,513,0.660818713450292,Alpha Beta,2.60.120.20,Nepo_coat;Nepo_coat_N,55,0.0,C1,C1,0,else,else,0,60,2
3rzz.A,1,214,221,419,206.5,6,421,0.995249406175772,Alpha Beta,1.10.260.40;2.60.120.10,-,0,,C2,C2,953,C2,C2,0,64,2
1gtt.A,1,208,220,419,204.0,11,421,0.995249406175772,Alpha Beta,3.90.850.10,FAA_hydrolase,377,0.458715596330275,C2,C2,674,C2,C2,0,64,2
6wim.A,198,342,343,517,160.0,0,536,0.597014925373134,Mainly Beta,-,ShlB,193,0.0,C1,C1,0,else,else,0,82,2
1axk.A,1,149,190,340,150.0,40,393,0.865139949109415,Mainly Beta,2.60.120.200;2.60.120.180,Glyco_hydro_11;Glyco_hydro_16,4,1.76211453744493,C1,C1,0,else,else,0,82,2
5fx8.U,1,142,148,293,144.0,5,309,0.948220064724919,Mainly Beta,-,-,0,,C1,C1,7,C2,C2,0,86,2
4kh8.A,14,136,172,300,126.0,35,311,0.922829581993569,Mainly Beta,2.40.128.540,DUF4822,116,12.5,C1,C2,185,C2,C2,0,86,2
1o59.A,0,176,177,317,159.0,0,318,1.0,Mainly Beta,2.60.120.260,Allantoicase,202,14.0,R,C1,18,C2,C2,0,86,2
2d5f.A,3,199,216,382,182.0,16,384,0.989583333333333,Mainly Beta,2.60.120.10,Cupin_1,29,7.17703349282297,C2,C2,629,C2,C2,0,86,2
6ekt.A,6,183,210,408,188.5,26,419,0.9618138424821,Alpha Beta,-,Clostridium_P47,0,0.0,C2,C2,44,C2,C2,0,97,2
